time,x,y,longitude,latitude,cerra_sde,unit
2019-09-20,110000,1331000,10.04859829242372,61.86392729619409,0.018333333,2
2019-09-20,115500,1331000,10.15097308316179,61.86257158655699,0.015,3
2019-09-20,93500,1336500,9.74381725071918,61.915875526948106,0.024583332,4
2019-09-20,104500,1336500,9.948884258163838,61.913491818206985,0.019583333,5
2019-09-20,110000,1336500,10.051406965665244,61.912200699791455,0.015,6
2019-09-20,115500,1336500,10.15392196305603,61.91084341347358,0.015,7
2019-09-20,88000,1342000,9.643527437849816,61.9652369748336,0.04,8
2019-09-20,93500,1342000,9.746211676993724,61.96414312400681,0.035833333,9
2019-09-20,99000,1342000,9.84888933277268,61.96298301071997,0.03,10
2019-09-20,104500,1342000,9.951560018849955,61.96175664053426,0.020416666,11
2019-09-20,110000,1342000,10.054223349046335,61.96046401932794,0.018333333,12
2019-09-20,115500,1342000,10.156878937348818,61.95910515329606,0.015833333,13
2019-09-20,99000,1347500,9.85143141029024,62.01123913436032,0.027083332,14
2019-09-20,104500,1347500,9.954243135444663,62.01001133557868,0.020416666,15
2019-09-21,99000,1325500,9.84130480426889,61.8181540769436,0.0054166666,0
2019-09-21,104500,1331000,9.946215823184616,61.86521691470476,0.01,1
2019-09-21,110000,1331000,10.04859829242372,61.86392729619409,0.0058333334,2
2019-09-21,115500,1331000,10.15097308316179,61.86257158655699,0.0054166666,3
2019-09-21,93500,1336500,9.74381725071918,61.915875526948106,0.014166667,4
2019-09-21,104500,1336500,9.948884258163838,61.913491818206985,0.01,5
2019-09-21,110000,1336500,10.051406965665244,61.912200699791455,0.0058333334,6
2019-09-21,115500,1336500,10.15392196305603,61.91084341347358,0.0054166666,7
2019-09-21,88000,1342000,9.643527437849816,61.9652369748336,0.020833334,8
2019-09-21,93500,1342000,9.746211676993724,61.96414312400681,0.015833333,9
2019-09-21,99000,1342000,9.84888933277268,61.96298301071997,0.014583333,10
2019-09-21,104500,1342000,9.951560018849955,61.96175664053426,0.0062499996,11
2019-09-21,110000,1342000,10.054223349046335,61.96046401932794,0.0058333334,12
2019-09-21,115500,1342000,10.156878937348818,61.95910515329606,0.0058333334,13
2019-09-21,99000,1347500,9.85143141029024,62.01123913436032,0.01,14
2019-09-21,104500,1347500,9.954243135444663,62.01001133557868,0.0062499996,15
2019-09-22,99000,1325500,9.84130480426889,61.8181540769436,0.0,0
2019-09-22,104500,1331000,9.946215823184616,61.86521691470476,0.004583333,1
2019-09-22,110000,1331000,10.04859829242372,61.86392729619409,0.0,2
2019-09-22,115500,1331000,10.15097308316179,61.86257158655699,0.0,3
2019-09-22,93500,1336500,9.74381725071918,61.915875526948106,0.0058333334,4
2019-09-22,104500,1336500,9.948884258163838,61.913491818206985,0.004583333,5
2019-09-22,110000,1336500,10.051406965665244,61.912200699791455,0.0,6
2019-09-22,115500,1336500,10.15392196305603,61.91084341347358,0.0,7
2019-09-22,88000,1342000,9.643527437849816,61.9652369748336,0.01,8
