time,x,y,statkraft_sde,unit
2015-01-30,99000,1325500,2.4856116366565173,0
2015-01-30,104500,1331000,0.43956235157327816,1
2015-01-30,110000,1331000,0.24366533961203457,2
2015-01-30,115500,1331000,0.2316341465126527,3
2015-01-30,93500,1336500,2.5243093545387305,4
2015-01-30,104500,1336500,0.5371906149587476,5
2015-01-30,110000,1336500,0.23738678587684053,6
2015-01-30,115500,1336500,0.14820922077475895,7
2015-01-30,88000,1342000,1.955459442492622,8
2015-01-30,93500,1342000,1.656852985268696,9
2015-01-30,99000,1342000,0.8528093648308954,10
2015-01-30,104500,1342000,0.48403435789854765,11
2015-01-30,110000,1342000,0.11542533934814432,12
2015-01-30,115500,1342000,0.19170050104641972,13
2015-01-30,99000,1347500,0.46524863052447174,14
2015-01-30,104500,1347500,0.31675461289819734,15
2015-01-31,99000,1325500,,0
2015-01-31,104500,1331000,,1
2015-01-31,110000,1331000,,2
2015-01-31,115500,1331000,,3
2015-01-31,93500,1336500,,4
2015-01-31,104500,1336500,,5
2015-01-31,110000,1336500,,6
2015-01-31,115500,1336500,,7
2015-01-31,88000,1342000,,8
2015-01-31,93500,1342000,,9
2015-01-31,99000,1342000,,10
2015-01-31,104500,1342000,,11
2015-01-31,110000,1342000,,12
2015-01-31,115500,1342000,,13
2015-01-31,99000,1347500,,14
2015-01-31,104500,1347500,,15
2015-02-01,99000,1325500,2.347809578674255,0
2015-02-01,104500,1331000,0.41265737169050376,1
2015-02-01,110000,1331000,0.21864154087617216,2
2015-02-01,115500,1331000,0.20364771355510253,3
2015-02-01,93500,1336500,2.474047431396055,4
2015-02-01,104500,1336500,0.5176551742586778,5
2015-02-01,110000,1336500,0.21164022889732825,6
2015-02-01,115500,1336500,0.09027727267043767,7
2015-02-01,88000,1342000,1.9503337897487094,8
2015-02-01,93500,1342000,1.6413561755286008,9
2015-02-01,99000,1342000,0.8618634809219098,10
2015-02-01,104500,1342000,0.4737325063244518,11
2015-02-01,110000,1342000,0.07152408128747986,12
2015-02-01,115500,1342000,0.11627614112560412,13
2015-02-01,99000,1347500,0.4871955727732148,14
2015-02-01,104500,1347500,0.2942662298245845,15
2015-02-02,99000,1325500,2.159270609633771,0
